CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 161.03,Wertz,Roddy 147,Linux,TUE 08:00-09:50,THU 08:00-09:50^
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Wertz,Roddy 147,Linux,TUE 08:00-09:50,THU 08:00-09:50^
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,TUE 17:10-19:00,THU 17:10-19:00^
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Rogers,Roddy 136,Linux,MON 17:00-18:50^,WED 17:00-18:50
CMSC 161.03,Wertz,Roddy 147,Linux,TUE 08:00-09:50^,THU 08:00-09:50
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 09:00-10:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 17:00-18:50^,WED 17:00-18:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 10:00-10:50,WED 09:00-10:50,FRI 10:00-10:50
CMSC 140.02,Hardy,Roddy 147,None,MON 12:00-12:50,WED 11:00-12:50,FRI 12:00-12:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 161.03,Wertz,Roddy 140,Linux,TUE 08:00-09:50^,THU 08:00-09:50
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 17:00-18:50^,WED 17:00-18:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 161.03,Wertz,Roddy 147,Linux,TUE 08:00-09:50,THU 08:00-09:50^
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 09:00-10:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Wertz,Roddy 147,Linux,TUE 08:00-09:50^,THU 08:00-09:50
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00,THU 17:10-19:00^
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 09:00-10:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 13:00-13:50,WED 13:00-14:50,FRI 13:00-13:50
CMSC 140.02,Hardy,Roddy 147,None,MON 14:00-14:50,TUE 13:10-15:00,FRI 14:00-14:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 10:00-10:50,TUE 10:00-11:50^,FRI 10:00-10:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50
CMSC 161.02,Wertz,Roddy 140,Linux,TUE 08:00-09:50,THU 08:00-09:50^
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 162.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50

CMSC 140.01,Hardy,Roddy 147,None,MON 11:00-11:50,THU 10:00-11:50,FRI 11:00-11:50
CMSC 140.02,Hardy,Roddy 147,None,MON 12:00-12:50,WED 12:00-13:50,FRI 12:00-12:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 161.02,Wertz,Roddy 147,Linux,TUE 08:00-09:50^,THU 08:00-09:50
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00,THU 17:10-19:00^
CMSC 162.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 330.01,Xie,Roddy 147,Mac,MON 10:00-10:50,TUE 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Wertz,Roddy 147,Linux,TUE 08:00-09:50,THU 08:00-09:50^
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,TUE 17:10-19:00^,THU 17:10-19:00
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50

CMSC 140.01,Hardy,Roddy 147,None,MON 09:00-09:50,WED 09:00-10:50,FRI 09:00-09:50
CMSC 140.02,Hardy,Roddy 147,None,MON 10:00-10:50,THU 10:00-11:50,FRI 10:00-10:50
CMSC 152.01,Hardy,Roddy 147,Mac,MON 14:00-14:50,THU 13:10-15:00^,FRI 14:00-14:50
CMSC 161.01,Zoppetti,Roddy 136,Linux,MON 13:00-13:50,WED 13:00-14:50^,FRI 13:00-13:50
CMSC 161.02,Wertz,Roddy 140,Linux,TUE 08:00-09:50^,THU 08:00-09:50
CMSC 161.03,Rogers,Roddy 136,Linux,TUE 17:10-19:00,THU 17:10-19:00^
CMSC 162.01,Hogg,Roddy 140,Linux,MON 11:00-11:50,TUE 10:00-11:50^,FRI 11:00-11:50
CMSC 330.01,Xie,Roddy 140,Mac,MON 10:00-10:50,THU 10:00-11:50^,FRI 10:00-10:50
CMSC 340.01,Yang,Roddy 136,Linux,MON 14:00-14:50,TUE 13:10-15:00^,FRI 14:00-14:50
CMSC 340.02,Yang,Roddy 136,Linux,MON 16:00-16:50,TUE 15:10-17:00^,FRI 16:00-16:50
CMSC 362.01,Zoppetti,Roddy 136,Linux,MON 15:00-15:50,THU 14:10-16:00^,FRI 15:00-15:50
CMSC 366.01,Xie,Roddy 140,Mac,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 366.02,Xie,Roddy 140,Mac,MON 14:00-14:50,WED 13:00-14:50^,FRI 14:00-14:50
CMSC 380.01,Hogg,Roddy 140,Linux,MON 09:00-09:50,WED 09:00-10:50^,FRI 09:00-09:50
CMSC 420.01,Hobbs,Roddy 140,Mac,MON 16:00-17:50^,WED 16:00-17:50
CMSC 453.01,Yang,Roddy 136,Linux,MON 12:00-12:50,WED 11:00-12:50^,FRI 12:00-12:50
CMSC 476.01,Zoppetti,Roddy 136,Linux,MON 11:00-11:50,THU 10:00-11:50^,FRI 11:00-11:50